starname,ra,dec,Vmag,Kmag,teff,logg,feh,alpha,synfilepath
0000000000000001,195.4684554018686,29.1883153466994,11.5,9.049,4800.0,1.6,-2.5,0.0,/Users/ishigakimiho/PFS/Github/pfs_calibstars_data/database/Synspec/K-giant_teff4800-logg1.6-feh-2.5-alpha0.0.txt
0000000000000002,195.4684554018686,29.1883153466994,11.5,9.049,4800.0,1.6,-2.0,0.0,/Users/ishigakimiho/PFS/Github/pfs_calibstars_data/database/Synspec/K-giant_teff4800-logg1.6-feh-2.0-alpha0.0.txt
0000000000000003,195.4684554018686,29.1883153466994,11.5,9.049,4800.0,1.6,-1.5,0.0,/Users/ishigakimiho/PFS/Github/pfs_calibstars_data/database/Synspec/K-giant_teff4800-logg1.6-feh-1.5-alpha0.0.txt
0000000000000004,195.4684554018686,29.1883153466994,11.5,9.049,4800.0,1.6,-1.0,0.0,/Users/ishigakimiho/PFS/Github/pfs_calibstars_data/database/Synspec/K-giant_teff4800-logg1.6-feh-1.0-alpha0.0.txt
0000000000000005,195.4684554018686,29.1883153466994,11.5,9.049,4800.0,1.6,-0.5,0.0,/Users/ishigakimiho/PFS/Github/pfs_calibstars_data/database/Synspec/K-giant_teff4800-logg1.6-feh-0.5-alpha0.0.txt
00000000000003e9,156.8510260053169,1.4000534041333,11.1,9.595,6000.0,4.5,-2.5,0.0,/Users/ishigakimiho/PFS/Github/pfs_calibstars_data/database/Synspec/G-dwarf_teff6000-logg4.5-feh-2.5-alpha0.0.txt
00000000000003ea,156.8510260053169,1.4000534041333,11.1,9.595,6000.0,4.5,-2.0,0.0,/Users/ishigakimiho/PFS/Github/pfs_calibstars_data/database/Synspec/G-dwarf_teff6000-logg4.5-feh-2.0-alpha0.0.txt
00000000000003eb,156.8510260053169,1.4000534041333,11.1,9.595,6000.0,4.5,-1.5,0.0,/Users/ishigakimiho/PFS/Github/pfs_calibstars_data/database/Synspec/G-dwarf_teff6000-logg4.5-feh-1.5-alpha0.0.txt
00000000000003ec,156.8510260053169,1.4000534041333,11.1,9.595,6000.0,4.5,-1.0,0.0,/Users/ishigakimiho/PFS/Github/pfs_calibstars_data/database/Synspec/G-dwarf_teff6000-logg4.5-feh-1.0-alpha0.0.txt
00000000000003ed,156.8510260053169,1.4000534041333,11.1,9.595,6000.0,4.5,-0.5,0.0,/Users/ishigakimiho/PFS/Github/pfs_calibstars_data/database/Synspec/G-dwarf_teff6000-logg4.5-feh-0.5-alpha0.0.txt
